imagesTr,imagesTr.1,imagesTr.2,labelsTr,contoursTr
imagesTr/myops_training_109_C0.nii.gz,imagesTr/myops_training_109_DE.nii.gz,imagesTr/myops_training_109_T2.nii.gz,labelsTr/myops_training_109_gd.nii.gz,contoursTr/myops_training_109_contour.nii.gz
imagesTr/myops_training_104_C0.nii.gz,imagesTr/myops_training_104_DE.nii.gz,imagesTr/myops_training_104_T2.nii.gz,labelsTr/myops_training_104_gd.nii.gz,contoursTr/myops_training_104_contour.nii.gz
imagesTr/myops_training_125_C0.nii.gz,imagesTr/myops_training_125_DE.nii.gz,imagesTr/myops_training_125_T2.nii.gz,labelsTr/myops_training_125_gd.nii.gz,contoursTr/myops_training_125_contour.nii.gz
imagesTr/myops_training_119_C0.nii.gz,imagesTr/myops_training_119_DE.nii.gz,imagesTr/myops_training_119_T2.nii.gz,labelsTr/myops_training_119_gd.nii.gz,contoursTr/myops_training_119_contour.nii.gz
imagesTr/myops_training_115_C0.nii.gz,imagesTr/myops_training_115_DE.nii.gz,imagesTr/myops_training_115_T2.nii.gz,labelsTr/myops_training_115_gd.nii.gz,contoursTr/myops_training_115_contour.nii.gz
imagesTr/myops_training_102_C0.nii.gz,imagesTr/myops_training_102_DE.nii.gz,imagesTr/myops_training_102_T2.nii.gz,labelsTr/myops_training_102_gd.nii.gz,contoursTr/myops_training_102_contour.nii.gz
imagesTr/myops_training_123_C0.nii.gz,imagesTr/myops_training_123_DE.nii.gz,imagesTr/myops_training_123_T2.nii.gz,labelsTr/myops_training_123_gd.nii.gz,contoursTr/myops_training_123_contour.nii.gz
imagesTr/myops_training_107_C0.nii.gz,imagesTr/myops_training_107_DE.nii.gz,imagesTr/myops_training_107_T2.nii.gz,labelsTr/myops_training_107_gd.nii.gz,contoursTr/myops_training_107_contour.nii.gz
imagesTr/myops_training_112_C0.nii.gz,imagesTr/myops_training_112_DE.nii.gz,imagesTr/myops_training_112_T2.nii.gz,labelsTr/myops_training_112_gd.nii.gz,contoursTr/myops_training_112_contour.nii.gz
imagesTr/myops_training_117_C0.nii.gz,imagesTr/myops_training_117_DE.nii.gz,imagesTr/myops_training_117_T2.nii.gz,labelsTr/myops_training_117_gd.nii.gz,contoursTr/myops_training_117_contour.nii.gz
imagesTr/myops_training_120_C0.nii.gz,imagesTr/myops_training_120_DE.nii.gz,imagesTr/myops_training_120_T2.nii.gz,labelsTr/myops_training_120_gd.nii.gz,contoursTr/myops_training_120_contour.nii.gz
imagesTr/myops_training_114_C0.nii.gz,imagesTr/myops_training_114_DE.nii.gz,imagesTr/myops_training_114_T2.nii.gz,labelsTr/myops_training_114_gd.nii.gz,contoursTr/myops_training_114_contour.nii.gz
imagesTr/myops_training_110_C0.nii.gz,imagesTr/myops_training_110_DE.nii.gz,imagesTr/myops_training_110_T2.nii.gz,labelsTr/myops_training_110_gd.nii.gz,contoursTr/myops_training_110_contour.nii.gz
imagesTr/myops_training_111_C0.nii.gz,imagesTr/myops_training_111_DE.nii.gz,imagesTr/myops_training_111_T2.nii.gz,labelsTr/myops_training_111_gd.nii.gz,contoursTr/myops_training_111_contour.nii.gz
imagesTr/myops_training_121_C0.nii.gz,imagesTr/myops_training_121_DE.nii.gz,imagesTr/myops_training_121_T2.nii.gz,labelsTr/myops_training_121_gd.nii.gz,contoursTr/myops_training_121_contour.nii.gz
imagesTr/myops_training_124_C0.nii.gz,imagesTr/myops_training_124_DE.nii.gz,imagesTr/myops_training_124_T2.nii.gz,labelsTr/myops_training_124_gd.nii.gz,contoursTr/myops_training_124_contour.nii.gz
imagesTr/myops_training_106_C0.nii.gz,imagesTr/myops_training_106_DE.nii.gz,imagesTr/myops_training_106_T2.nii.gz,labelsTr/myops_training_106_gd.nii.gz,contoursTr/myops_training_106_contour.nii.gz
imagesTr/myops_training_116_C0.nii.gz,imagesTr/myops_training_116_DE.nii.gz,imagesTr/myops_training_116_T2.nii.gz,labelsTr/myops_training_116_gd.nii.gz,contoursTr/myops_training_116_contour.nii.gz
imagesTr/myops_training_108_C0.nii.gz,imagesTr/myops_training_108_DE.nii.gz,imagesTr/myops_training_108_T2.nii.gz,labelsTr/myops_training_108_gd.nii.gz,contoursTr/myops_training_108_contour.nii.gz
imagesTr/myops_training_105_C0.nii.gz,imagesTr/myops_training_105_DE.nii.gz,imagesTr/myops_training_105_T2.nii.gz,labelsTr/myops_training_105_gd.nii.gz,contoursTr/myops_training_105_contour.nii.gz
